APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
5,,1000009,1250.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z1250) ,21125050001250,1,Stück,Profil,1250,,5000,,0,0,1,1,,,Wand 2 Profile ,5,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,2
5,,1000009,1250.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z1542) ,21154250001542,1,Stück,Profil,1542,,5000,,0,0,1,1,,,Wand 2 Profile ,7,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,2
5,,1000009,1542.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z1812) ,21181250001812,1,Stück,Profil,1812,,5000,,0,0,1,1,,,Wand 2 Profile ,8,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,2
5,,1000009,1812.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil-4410 (Z2097) ,21209750002097,1,Stück,Profil,2097,,5000,,0,0,1,1,,,Wand 2 Profile ,9,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,21,2
5,,1000009,2097.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- U-Ringankerprofil 4610 (Z1542) ,23154250001542,1,Stück,Profil,1542,,5000,,0,0,1,1,,,Wand 2 Profile ,7,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,23,2
5,,1000010,1542.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- U-Ringankerprofil 4610 (Z1812) ,23181250001812,1,Stück,Profil,1812,,5000,,0,0,1,1,,,Wand 2 Profile ,8,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,23,2
5,,1000010,1812.0,mm,,,,,,1,1,0,0,,,,,,,,,
